,PR,TR,포트배당수익률(%)
2021-06-29,4693.8656541321825,5357.469966738999,1.3159432301062655
2021-06-30,4754.173500367165,5426.49945301461,1.3159432301062655
2021-07-01,4730.352918593886,5399.504740365844,1.3159432301062655
2021-07-02,4722.704017067436,5390.968053368749,1.3159432301062655
2021-07-05,4717.76601741116,5385.913402510567,1.3159432301062655
2021-07-06,4737.620581277954,5408.774706133031,1.3159432301062655
2021-07-07,4716.039745411894,5384.330607930634,1.3159432301062655
2021-07-08,4614.351863699509,5268.422755838052,1.3159432301062655
2021-07-09,4580.978729581937,5230.507518361373,1.3159432301062655
2021-07-12,4585.813840958991,5236.59413124152,1.3159432301062655
2021-07-13,4623.997363255251,5280.386577084751,1.3159432301062655
2021-07-14,4607.5549014786775,5261.799630630555,1.3159432301062655
2021-07-15,4659.936053278316,5321.810317172311,1.3159432301062655
2021-07-16,4610.105020624341,5265.091217990349,1.3159432301062655
2021-07-19,4668.114768224702,5331.9190118646375,1.3159432301062655
2021-07-20,4681.0032078058675,5346.83281468355,1.3159432301062655
2021-07-21,4659.296653584854,5322.230448385325,1.3159432301062655
2021-07-22,4864.351750064643,5556.661374333408,1.3159432301062655
2021-07-23,4873.914298323685,5567.785486189882,1.3159432301062655
2021-07-26,4802.081229606453,5486.318884469704,1.3159432301062655
2021-07-27,4781.718996871533,5463.25210943609,1.3159432301062655
2021-07-28,4741.816978029708,5417.858090646921,1.3159432301062655
2021-07-29,4701.746455537552,5372.268259641995,1.3159432301062655
2021-07-30,4650.6199542006425,5314.041995904686,1.3159432301062655
2021-08-02,4740.38651500836,5417.199429403827,1.3159432301062655
2021-08-03,4811.500656291465,5498.6650575198755,1.3159432301062655
2021-08-04,4823.745309271705,5512.8570690562165,1.3159432301062655
2021-08-05,4873.771849764575,5570.230993205096,1.3159432301062655
2021-08-06,4831.284018518723,5521.870613644206,1.3159432301062655
2021-08-09,4848.016852303716,5541.5941508612095,1.3159432301062655
2021-08-10,4757.693615513923,5438.54483494505,1.3159432301062655
2021-08-11,4568.678266556922,5222.668544351612,1.3159432301062655
2021-08-12,4472.967689844538,5113.441557417347,1.3159432301062655
2021-08-13,4398.270934483436,5028.230300310884,1.3159432301062655
2021-08-17,4325.734824858155,4946.017614738065,1.3159432301062655
2021-08-18,4361.463093392532,4987.048758873649,1.3159432301062655
2021-08-19,4203.619735484053,4806.738341265722,1.3159432301062655
2021-08-20,4165.52308550123,4763.347346153347,1.3159432301062655
2021-08-23,4252.890177467719,4863.778767649121,1.3159432301062655
2021-08-24,4366.651760228463,4994.0610786684365,1.3159432301062655
2021-08-25,4359.709856642082,4986.301391192181,1.3159432301062655
2021-08-26,4343.594001681623,4968.048298867683,1.3159432301062655
2021-08-27,4327.429226227951,4949.737929269592,1.3159432301062655
2021-08-30,4328.37793262131,4951.35817809572,1.3159432301062655
2021-08-31,4394.721644765564,5027.431816441828,1.3159432301062655
2021-09-01,4384.480927908404,5015.897447755376,1.3159432301062655
2021-09-02,4346.402627451144,4972.514572891419,1.3159432301062655
2021-09-03,4354.09206327231,4981.491163814617,1.3159432301062655
2021-09-06,4349.52534949291,4976.804276564083,1.3159432301062655
2021-09-07,4324.099715064537,4947.890072308647,1.3159432301062655
2021-09-08,4309.727464699593,4931.622168144846,1.3159432301062655
2021-09-09,4242.1077444747025,4854.419797590215,1.3159432301062655
2021-09-10,4275.333541575348,4892.617722602478,1.3159432301062655
2021-09-13,4270.198435113064,4887.269382402991,1.3159432301062655
2021-09-14,4301.453789071708,4923.218704734472,1.3159432301062655
2021-09-15,4295.605450478801,4916.702138032544,1.3159432301062655
2021-09-16,4226.3796476922635,4837.641342442175,1.3159432301062655
2021-09-17,4311.51167546811,4935.263827632622,1.3159432301062655
2021-09-23,4244.49563235862,4859.602764024622,1.3159432301062655
2021-09-24,4213.154715335519,4823.893751215006,1.3159432301062655
2021-09-27,4244.602934794084,4860.425991227153,1.3159432301062655
2021-09-28,4134.632836221378,4734.671591862538,1.3159432301062655
2021-09-29,4018.2233276146962,4601.533929343783,1.3159432301062655
2021-09-30,4035.8617954340893,4621.899422615538,1.3159432301062655
2021-10-01,3941.3260095858186,4513.798946187724,1.3159432301062655
2021-10-05,3842.0217545690157,4400.704978605362,1.3159432301062655
2021-10-06,3737.463916600805,4281.097217759164,1.3159432301062655
2021-10-07,3871.874987374055,4435.218857152877,1.3159432301062655
2021-10-08,3769.8700152755055,4318.52811364087,1.3159432301062655
2021-10-12,3667.467344227456,4201.827452393031,1.3159432301062655
2021-10-13,3669.8167084635224,4204.670608256976,1.3159432301062655
2021-10-14,3759.914575669216,4308.054909728544,1.3159432301062655
2021-10-15,3875.862132505101,4441.065917216706,1.3159432301062655
2021-10-18,3874.066039489124,4439.487699284352,1.3159432301062655
2021-10-19,3862.2105607770695,4426.061367068302,1.3159432301062655
2021-10-20,3832.604886389948,4392.2917512768445,1.3159432301062655
2021-10-21,3797.480282085006,4352.194592603274,1.3159432301062655
2021-10-22,3826.175642673608,4385.239596364245,1.3159432301062655
2021-10-25,3853.5968146570294,4417.144807903124,1.3159432301062655
2021-10-26,3947.2016880557608,4524.601418297552,1.3159432301062655
2021-10-27,3921.9336722197845,4495.799148812836,1.3159432301062655
2021-10-28,4053.6854366583957,4646.996523502918,1.3159432301062655
2021-10-29,3991.9345398801624,4576.3724311626165,1.3159432301062655
2021-11-01,3995.047627718694,4580.436315721304,1.3159432301062655
2021-11-02,4058.0397646590122,4652.826230143765,1.3159432301062655
2021-11-03,3967.339434439582,4548.995849849208,1.3159432301062655
2021-11-04,3975.9245221055494,4559.003855999355,1.3159432301062655
2021-11-05,4028.3362182712854,4619.268278864517,1.3159432301062655
2021-11-08,4046.0444668490236,4640.075689777746,1.3159432301062655
2021-11-09,4020.7777477929426,4611.265498673295,1.3159432301062655
2021-11-10,3932.728241290899,4510.447621083467,1.3159432301062655
2021-11-11,3898.007495828998,4470.7874542174495,1.3159432301062655
2021-11-12,4022.124329657227,4613.308435001558,1.3159432301062655
2021-11-15,4176.970589454444,4791.432299773016,1.3159432301062655
2021-11-16,4266.140475605168,4893.896016138002,1.3159432301062655
2021-11-17,4259.297121435554,4886.2217108798395,1.3159432301062655
2021-11-18,4247.777995181398,4873.18265553221,1.3159432301062655
2021-11-19,4349.749347639867,4990.3471421393515,1.3159432301062655
2021-11-22,4628.786174457099,5311.052363990497,1.3159432301062655
2021-11-23,4607.905931187543,5287.284935475273,1.3159432301062655
2021-11-24,4543.556504182099,5213.635810660601,1.3159432301062655
2021-11-25,4470.074129687035,5129.501128736688,1.3159432301062655
2021-11-26,4381.545668351319,5028.094064313478,1.3159432301062655
2021-11-29,4353.373088133346,4996.304260436244,1.3159432301062655
2021-11-30,4235.093305045359,4860.731357650507,1.3159432301062655
2021-12-01,4410.996803738926,5062.802969042948,1.3159432301062655
2021-12-02,4682.421929761819,5374.529795120279,1.3159432301062655
2021-12-03,4709.869184000189,5406.228794246743,1.3159432301062655
2021-12-06,4742.6337077433955,5444.425991670195,1.3159432301062655
2021-12-07,4789.84497660901,5498.821466101369,1.3159432301062655
2021-12-08,4684.202460478561,5377.735850758208,1.3159432301062655
2021-12-09,4735.098179052511,5436.362942117015,1.3159432301062655
2021-12-10,4659.421829383601,5349.6717114746625,1.3159432301062655
